"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: enableInterning","Param: enableParallel","Param: interningEnabled","Param: mergePolicy","Param: parallelEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1658594.591727,30783.273322,"ops/s",false,true,,INTERSECTION,,washington,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1671879.602461,81785.610398,"ops/s",false,true,,INTERSECTION,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,211021.307974,15538.833311,"ops/s",false,true,,INTERSECTION,,"wa sh",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,213391.053626,6410.509897,"ops/s",false,true,,INTERSECTION,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,20016.651213,441.255677,"ops/s",false,true,,INTERSECTION,,"a b c d e",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,19606.641893,713.923890,"ops/s",false,true,,INTERSECTION,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,6984.665707,101.695396,"ops/s",false,true,,INTERSECTION,,"a b c d e g h i l m n p r s u v y",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,7028.279522,81.093485,"ops/s",false,true,,INTERSECTION,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1235988914.972031,92867812.646122,"ops/s",false,false,,UNION,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1250502003.140909,4446199.471450,"ops/s",false,false,,UNION,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,3091327.586742,83689.015457,"ops/s",false,false,,UNION,,nosuchstring,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,514077.739449,15484.085341,"ops/s",false,false,,UNION,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1646898.314065,22704.848298,"ops/s",false,false,,UNION,,washington,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1652541.950666,6265.513114,"ops/s",false,false,,UNION,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,440767.080412,7627.077039,"ops/s",false,false,,UNION,,"wa sh",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,436486.170674,4979.650594,"ops/s",false,false,,UNION,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,20448.510374,165.694421,"ops/s",false,false,,UNION,,"a b c d e",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,20590.842851,102.189141,"ops/s",false,false,,UNION,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,7640.539155,202.166292,"ops/s",false,false,,UNION,,"a b c d e g h i l m n p r s u v y",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,7582.664030,192.122833,"ops/s",false,false,,UNION,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1255087175.792003,7621742.601603,"ops/s",false,false,,INTERSECTION,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1259545605.289718,7804485.403454,"ops/s",false,false,,INTERSECTION,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,3148598.994436,29934.181910,"ops/s",false,false,,INTERSECTION,,nosuchstring,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,518988.739906,11556.753772,"ops/s",false,false,,INTERSECTION,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1655724.027566,15103.460242,"ops/s",false,false,,INTERSECTION,,washington,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,1616574.985628,26668.301674,"ops/s",false,false,,INTERSECTION,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,659173.094340,8886.006474,"ops/s",false,false,,INTERSECTION,,"wa sh",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,655465.454744,10740.557001,"ops/s",false,false,,INTERSECTION,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,26406.552620,457.397751,"ops/s",false,false,,INTERSECTION,,"a b c d e",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,26319.834077,166.019388,"ops/s",false,false,,INTERSECTION,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,11664.510367,100.396522,"ops/s",false,false,,INTERSECTION,,"a b c d e g h i l m n p r s u v y",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_mt","thrpt",8,9,11632.332277,228.869947,"ops/s",false,false,,INTERSECTION,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,354117863.653874,8391755.205341,"ops/s",true,true,,UNION,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,357569427.798096,4170599.326080,"ops/s",true,true,,UNION,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,899603.737491,23506.114112,"ops/s",true,true,,UNION,,nosuchstring,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,175756.481374,6131.495002,"ops/s",true,true,,UNION,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,487012.919421,23173.602126,"ops/s",true,true,,UNION,,washington,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,479563.722047,25244.808400,"ops/s",true,true,,UNION,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,24093.065775,662.528056,"ops/s",true,true,,UNION,,"wa sh",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,23881.585641,920.061312,"ops/s",true,true,,UNION,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,1485.009077,202.291872,"ops/s",true,true,,UNION,,"a b c d e",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,1418.845948,46.581705,"ops/s",true,true,,UNION,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,921.292809,15.361091,"ops/s",true,true,,UNION,,"a b c d e g h i l m n p r s u v y",IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,951.230023,30.384484,"ops/s",true,true,,UNION,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,359611251.008136,3163252.787954,"ops/s",true,true,,INTERSECTION,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,360936072.702031,3186997.657180,"ops/s",true,true,,INTERSECTION,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run_st","thrpt",1,9,862324.541282,34843.947708,"ops/s",true,true,,INTERSECTION,,nosuchstring,IGNORE
