"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: listSize","Param: maxItems","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1144907871.361271,190693922.290984,"ops/s",INTERSECTION,0,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1146711004.556713,187848539.785497,"ops/s",INTERSECTION,0,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3610794.094175,34515.326505,"ops/s",INTERSECTION,0,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,452838.483984,43581.291049,"ops/s",INTERSECTION,0,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1493778.748491,26487.710811,"ops/s",INTERSECTION,0,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1564647.022685,61415.490142,"ops/s",INTERSECTION,0,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,387064.854960,24016.242186,"ops/s",INTERSECTION,0,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,390471.150968,11538.964071,"ops/s",INTERSECTION,0,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,12303.673326,679.260409,"ops/s",INTERSECTION,0,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,12362.829647,532.647424,"ops/s",INTERSECTION,0,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,4740.683161,38.543129,"ops/s",INTERSECTION,0,,,"a b c d e g h i l m n p r s u v y",EXACT
