"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,126489.389618,11445.323304,"ops/s",UNION,0,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,484671.376916,15567.796345,"ops/s",UNION,0,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,486100.564421,17281.208497,"ops/s",UNION,0,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,83436.842193,6277.250523,"ops/s",UNION,0,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,82534.985209,4929.423853,"ops/s",UNION,0,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,2233.236631,112.773840,"ops/s",UNION,0,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,2321.204020,63.026160,"ops/s",UNION,0,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,868.450624,24.193254,"ops/s",UNION,0,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,831.193838,34.548338,"ops/s",UNION,0,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,330578348.416096,8916194.426344,"ops/s",UNION,1024,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,328904873.406905,3274437.952254,"ops/s",UNION,1024,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,914712.013504,57580.185749,"ops/s",UNION,1024,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,129388.039713,4539.756051,"ops/s",UNION,1024,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,505204.449970,22206.189332,"ops/s",UNION,1024,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,502596.377503,20878.568899,"ops/s",UNION,1024,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,86467.535477,2904.699679,"ops/s",UNION,1024,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,83984.173162,4861.215581,"ops/s",UNION,1024,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,2357.379106,66.595634,"ops/s",UNION,1024,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,2379.421769,123.380705,"ops/s",UNION,1024,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,837.628005,53.246457,"ops/s",UNION,1024,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,853.148637,48.252620,"ops/s",UNION,1024,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,336222298.541706,9433005.878072,"ops/s",UNION,104857600,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,335296320.085421,5262654.377463,"ops/s",UNION,104857600,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,924546.990723,61741.057159,"ops/s",UNION,104857600,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,252696.716398,16540.316901,"ops/s",UNION,104857600,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,596904.677382,19506.809397,"ops/s",UNION,104857600,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,580272.630774,26695.211260,"ops/s",UNION,104857600,,washington,BACKTRACKING
