"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intern","Param: merge","Param: parallel","Param: query","Param: size","Param: type","Param: unmatched"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,221338.570475,3433.818332,"ops/s",true,INTERSECTION,false,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,918126.055754,33023.795655,"ops/s",true,INTERSECTION,false,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,928092.756394,65589.900626,"ops/s",true,INTERSECTION,false,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,194190.845338,5037.713200,"ops/s",true,INTERSECTION,false,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,190136.689062,11431.008872,"ops/s",true,INTERSECTION,false,"wa sh",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6929.388765,34.591762,"ops/s",true,INTERSECTION,false,"a b c d e",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6802.238139,91.496023,"ops/s",true,INTERSECTION,false,"a b c d e",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2442.560124,79.348018,"ops/s",true,INTERSECTION,false,"a b c d e g h i l m n p r s u v y",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2438.786463,91.259712,"ops/s",true,INTERSECTION,false,"a b c d e g h i l m n p r s u v y",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,611067460.036958,5312167.453626,"ops/s",false,UNION,true,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,610918808.464976,2370656.293532,"ops/s",false,UNION,true,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1736831.274089,50930.594342,"ops/s",false,UNION,true,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,222047.110075,11085.737798,"ops/s",false,UNION,true,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,940590.128560,45066.144354,"ops/s",false,UNION,true,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,853120.501075,44322.948569,"ops/s",false,UNION,true,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,122265.064786,3462.865876,"ops/s",false,UNION,true,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,120083.723797,12028.051895,"ops/s",false,UNION,true,"wa sh",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,5892.557362,935.458129,"ops/s",false,UNION,true,"a b c d e",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,5922.167642,973.429206,"ops/s",false,UNION,true,"a b c d e",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1803.188116,109.385546,"ops/s",false,UNION,true,"a b c d e g h i l m n p r s u v y",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1983.637977,58.022353,"ops/s",false,UNION,true,"a b c d e g h i l m n p r s u v y",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,611394739.941719,3576553.398652,"ops/s",false,UNION,false,,,,IGNORE
