"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,657.567303,10.559051,"ops/s",INTERSECTION,-1,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,655.351373,10.479667,"ops/s",INTERSECTION,-1,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.066210,1.565437,"us/op",UNION,0,true,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.972077,1.892701,"us/op",UNION,0,true,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,794.038732,46.109743,"us/op",UNION,0,true,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,778.867994,15.235685,"us/op",UNION,0,true,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1370.679764,22.657993,"us/op",UNION,0,true,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1368.980100,10.298847,"us/op",UNION,0,true,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,14.083334,0.400845,"us/op",UNION,0,false,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,13.837163,0.275718,"us/op",UNION,0,false,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,639.215012,8.736754,"us/op",UNION,0,false,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,626.250249,10.418939,"us/op",UNION,0,false,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1868.530133,62.951157,"us/op",UNION,0,false,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1833.052700,25.867875,"us/op",UNION,0,false,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.465474,0.939668,"us/op",UNION,1024,true,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.584644,1.356711,"us/op",UNION,1024,true,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,784.406832,36.050788,"us/op",UNION,1024,true,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,796.294750,36.757959,"us/op",UNION,1024,true,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1349.730612,25.234312,"us/op",UNION,1024,true,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1386.414786,14.690994,"us/op",UNION,1024,true,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,14.227489,0.349677,"us/op",UNION,1024,false,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,13.805905,0.426101,"us/op",UNION,1024,false,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,635.343212,13.045009,"us/op",UNION,1024,false,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,636.454541,14.910978,"us/op",UNION,1024,false,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1823.789103,37.634333,"us/op",UNION,1024,false,"a b c d e g h i l m n p r s u v y",EXACT
